,"en","ru"
"GAME_NAME","Palladium","Палладиум"
"ABOUT_HEADER","Our games","Наши игры"
"ABOUT_AUTHOR","Developed by NLB project:","Разработано NLB project:"
"ABOUT_OPEN_IN_STORE","View game page in Steam","Открыть страницу игры в Steam"
"ABOUT_CAPTION_IKE","I Know Everything","Я знаю всё"
"ABOUT_GAME_IKE","In the fascinating quiz “I Know Everything” you can play against a computer player or a friend.","В увлекательную викторину «Я знаю всё» можно играть с компьютером или с другом."
"ABOUT_CAPTION_NONLINEAR_TQ","Non-Linear Text Quests","Нелинейные текстовые квесты"
"ABOUT_GAME_NONLINEAR_TQ","Non-Linear Text Quests is a bundle of text games of various genres.","Non-Linear Text Quests – это сборник текстовых игр разных жанров."
"ABOUT_CAPTION_ADVFOUR","The Adventurous Four","Неукротимая четвёрка"
"ABOUT_GAME_ADVFOUR","It is a sequel to our ""Wild Island Quest"" visual novel, which was published a few years ago.","Продолжение визуальной новеллы ""Дикий остров"", которая вышла в свет несколько лет назад."
"ABOUT_CAPTION_REDHOOD","Return of Red Riding Hood","Возвращение Красной Шапочки"
"ABOUT_GAME_REDHOOD","This visual novel is a collection of alternative realities.","Эта визуальная новелла – собрание альтернативных реальностей."
"ABOUT_CAPTION_BARBARIAN","The Barbarian and the Subterranean Caves","Варвар и подземные пещеры"
"ABOUT_GAME_BARBARIAN","It is an adventure visual novel about the heroic feats of the intrepid warrior Ragnar.","Приключенческая визуальная новелла о подвигах бесстрашного героя Рагнара."
"ABOUT_CAPTION_WIQ","Wild Island Quest","Дикий остров"
"ABOUT_GAME_WIQ","It is a visual novel about the adventures of teenagers on a flying island.","Визуальная новелла о приключении детей на летающем острове."
"ABOUT_BACK","Back","Назад"
"DIALOG_QUIT_TITLE","Quit game","Выйти из игры"
"DIALOG_INPUT_TITLE","Change control","Изменить управление"
"DIALOG_QUIT_LABEL","Are you sure?","Точно?"
"DIALOG_INPUT_KEY","Press a key on the keyboard","Нажмите клавишу на клавиатуре"
"DIALOG_INPUT_JOY","Press a button on your controller or use its stick","Нажмите кнопку на своём контроллере или испольуйте его джойстик"
"DIALOG_INPUT_MOUSE","Press a button on your mouse","Нажмите кнопку мыши"
"BUTTON_NEXT","Next","Далее"
"BUTTON_YES","Yes","Да"
"BUTTON_NO","No","Нет"
"BUTTON_APPLY","Apply","Применить"
"BUTTON_CANCEL","Cancel","Отменить"
"BUTTON_CLEAR","Clear","Очистить"
"BUTTON_MAIN_MENU","Exit to main menu","Выйти в главное меню"
"BUTTON_REVIEW","Write a review","Написать обзор "
"BUTTON_QUIT","Quit game","Выйти из игры"
"TABLET_AUTOSAVE_SLOT","Autosave","Автосохранение"
